,Year,JPN Inflation (annual %),JPN GDP per capita growth (annual %),JPN GDP per capita,JPN Lending interest rate (%),JPN Unemployment,JPN Consumer price index,US Inflation (annual %),US GDP per capita growth (annual %),US GDP per capita,US Lending interest rate (%),US Unemployment,US Consumer price index
X44,2003,-0.257,1.318,35387.037,1.822,5.25,100.708,2.27,1.916,39490.275,4.123,5.99,84.363
X45,2004,-0.009,2.152,38298.98,1.767,4.73,100.699,2.677,2.896,41724.632,4.34,5.53,86.622
X46,2005,-0.283,1.794,37812.895,1.677,4.45,100.414,3.393,2.534,44123.407,6.189,5.08,89.561
X47,2006,0.249,1.308,35991.546,1.665,4.19,100.665,3.226,1.796,46302.001,7.958,4.62,92.45
X48,2007,0.06,1.367,35779.025,1.883,3.89,100.725,2.853,1.045,48050.224,8.05,4.62,95.087
X49,2008,1.38,-1.272,39876.304,1.91,4,102.115,3.839,-0.82,48570.046,5.088,5.78,98.737
X50,2009,-1.353,-5.681,41308.997,1.723,5.07,100.734,-0.356,-3.45,47194.943,3.25,9.25,98.386
X51,2010,-0.728,4.079,44968.156,1.598,5.1,100,1.64,1.86,48650.643,3.25,9.63,100
X52,2011,-0.272,0.209,48760.079,1.501,4.55,99.728,3.157,0.815,50065.967,3.25,8.95,103.157
X53,2012,-0.044,1.537,49145.28,1.408,4.36,99.684,2.069,1.533,51784.419,3.25,8.07,105.292
X54,2013,0.335,2.152,40898.648,1.304,4.04,100.018,1.465,1.139,53291.128,3.25,7.37,106.834
X55,2014,2.759,0.429,38475.395,1.219,3.59,102.777,1.622,1.54,55123.85,3.25,6.17,108.567
X56,2015,0.795,1.668,34960.639,1.143,3.39,103.595,0.119,1.953,56762.729,3.26,5.28,108.696
X57,2016,-0.127,0.805,39375.473,1.045,3.13,103.463,1.262,0.933,57866.745,3.512,4.87,110.067
X58,2017,0.484,1.759,38834.053,0.994,2.82,103.964,2.13,1.611,59914.778,4.097,4.36,112.412
X59,2018,0.989,0.712,39727.117,NA,2.47,104.992,2.443,2.378,62805.254,4.904,3.9,115.157
X60,2019,0.469,-0.1,40458.002,NA,2.35,105.484,1.812,1.824,65094.799,5.283,3.67,117.244
X61,2020,-0.025,-4.226,39918.168,NA,2.8,105.458,1.234,-4.329,63027.68,3.544,8.05,118.691
X62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
